Open,High,Low,Close,Adj Close,Volume
6110.399902,6141.649902,6067.75,6078.799805,6078.799805,146100.0
6087.25,6108.700195,6011.75,6018.049805,6018.049805,153800.0
5998.850098,6042.25,5972.450195,5989.600098,5989.600098,162500.0
6037.0,6101.649902,6036.649902,6056.149902,6056.149902,154900.0
6111.049805,6196.799805,6110.399902,6189.0,6189.0,164000.0
6197.25,6212.399902,6180.200195,6203.350098,6203.350098,161500.0
6186.850098,6204.350098,6106.950195,6122.899902,6122.899902,155800.0
6096.5,6097.350098,5985.399902,5999.049805,5999.049805,137200.0
6027.350098,6049.600098,5972.799805,5995.450195,5995.450195,134800.0
6035.950195,6123.5,6035.950195,6115.350098,6115.350098,127200.0
6099.25,6112.700195,6047.75,6059.100098,6059.100098,150700.0
6062.700195,6074.0,6030.299805,6057.100098,6057.100098,124900.0
6092.0,6112.950195,6068.299805,6091.850098,6091.850098,195300.0
6103.899902,6182.5,6103.799805,6176.100098,6176.100098,190700.0
6171.149902,6228.700195,6171.149902,6217.850098,6217.850098,145900.0
6204.25,6225.399902,6191.399902,6201.850098,6201.850098,156900.0
6187.950195,6209.149902,6149.899902,6160.950195,6160.950195,186200.0
6262.450195,6300.549805,6232.0,6241.100098,6241.100098,186100.0
6234.399902,6275.350098,6230.75,6259.899902,6259.899902,158500.0
6415.0,6415.25,6345.0,6363.899902,6363.899902,198300.0
6354.700195,6362.25,6307.549805,6332.850098,6332.850098,242400.0
6307.200195,6326.600098,6280.25,6307.899902,6307.899902,148200.0
6276.75,6286.850098,6230.549805,6237.049805,6237.049805,148500.0
6201.299805,6208.600098,6161.399902,6168.399902,6168.399902,169700.0
6168.350098,6183.25,6146.049805,6154.700195,6154.700195,146500.0
6178.200195,6190.549805,6133.0,6139.049805,6139.049805,154200.0
6129.950195,6236.0,6129.950195,6217.149902,6217.149902,243300.0
6253.899902,6263.75,6150.700195,6166.649902,6166.649902,437000.0
6179.950195,6284.5,6170.350098,6274.25,6274.25,172000.0
6267.200195,6317.5,6266.950195,6284.5,6284.5,131200.0
6296.450195,6301.5,6262.0,6268.399902,6268.399902,107600.0
6270.100098,6302.75,6259.450195,6278.899902,6278.899902,182300.0
6292.799805,6324.899902,6289.399902,6313.799805,6313.799805,96900.0
6336.399902,6344.049805,6273.149902,6291.100098,6291.100098,101300.0
6307.350098,6317.299805,6287.299805,6304.0,6304.0,103400.0
6301.25,6358.299805,6211.299805,6221.149902,6221.149902,158100.0
6194.549805,6221.700195,6171.25,6211.149902,6211.149902,139000.0
6220.850098,6224.700195,6170.25,6191.450195,6191.450195,118300.0
6203.899902,6221.5,6144.75,6162.25,6162.25,138600.0
6178.049805,6192.100098,6160.350098,6174.600098,6174.600098,146900.0
6181.700195,6188.049805,6148.25,6168.350098,6168.350098,150100.0
6178.850098,6239.100098,6139.600098,6171.450195,6171.450195,159900.0
6189.549805,6288.200195,6189.549805,6272.75,6272.75,135000.0
6260.25,6280.350098,6234.149902,6241.850098,6241.850098,110200.0
6265.950195,6325.200195,6265.299805,6320.899902,6320.899902,145900.0
6341.350098,6346.5,6299.850098,6318.899902,6318.899902,153400.0
6306.25,6327.100098,6246.350098,6261.649902,6261.649902,167700.0
6261.75,6307.450195,6243.350098,6303.950195,6303.950195,122100.0
6320.149902,6330.299805,6297.899902,6313.799805,6313.799805,141700.0
6309.049805,6349.950195,6287.450195,6338.950195,6338.950195,137500.0
6325.950195,6355.600098,6316.399902,6345.649902,6345.649902,120100.0
6301.649902,6331.450195,6263.899902,6266.75,6266.75,160300.0
6186.299805,6188.549805,6130.25,6135.850098,6135.850098,190400.0
6131.850098,6163.600098,6085.950195,6126.25,6126.25,184100.0
6161.0,6170.450195,6109.799805,6120.25,6120.25,146700.0
6067.0,6082.850098,6027.25,6073.700195,6073.700195,208100.0
6082.75,6097.850098,6067.350098,6089.5,6089.5,146700.0
6058.799805,6074.850098,5994.450195,6001.799805,6001.799805,134900.0
5947.600098,6017.799805,5933.299805,6000.899902,6000.899902,183300.0
6004.25,6028.049805,5962.049805,6022.399902,6022.399902,166600.0
6028.350098,6048.350098,5965.399902,6036.299805,6036.299805,185500.0
6077.649902,6079.950195,6030.899902,6063.200195,6063.200195,181900.0
6072.799805,6083.049805,6046.399902,6053.450195,6053.450195,133100.0
6072.450195,6081.850098,6053.25,6062.700195,6062.700195,150500.0
6085.350098,6106.600098,6077.399902,6084.0,6084.0,138500.0
6087.549805,6094.399902,5991.100098,6001.100098,6001.100098,153700.0
6023.75,6056.399902,5984.600098,6048.350098,6048.350098,140200.0
6057.100098,6080.649902,6038.299805,6073.299805,6073.299805,108500.0
6071.299805,6141.700195,6066.799805,6127.100098,6127.100098,126600.0
6132.049805,6160.350098,6125.75,6152.75,6152.75,95200.0
6127.149902,6129.100098,6086.450195,6091.450195,6091.450195,132100.0
6108.299805,6159.649902,6108.0,6155.450195,6155.450195,112600.0
6140.950195,6191.850098,6130.799805,6186.100098,6186.100098,144900.0
6205.700195,6216.850098,6176.600098,6200.049805,6200.049805,146300.0
6202.450195,6245.950195,6202.100098,6238.799805,6238.799805,181700.0
6228.450195,6282.700195,6228.100098,6276.950195,6276.950195,180600.0
6264.350098,6277.75,6212.25,6221.450195,6221.450195,144600.0
6216.75,6302.149902,6215.700195,6297.950195,6297.950195,166800.0
6328.450195,6336.25,6287.799805,6328.649902,6328.649902,160300.0
6344.75,6406.600098,6339.700195,6401.149902,6401.149902,180700.0
6413.950195,6537.799805,6413.549805,6526.649902,6526.649902,284900.0
6491.700195,6562.200195,6487.350098,6537.25,6537.25,242100.0
6537.350098,6562.850098,6494.25,6511.899902,6511.899902,239000.0
6497.5,6546.149902,6487.299805,6516.899902,6516.899902,175000.0
6491.75,6561.450195,6476.649902,6493.100098,6493.100098,167900.0
6447.25,6518.450195,6432.700195,6504.200195,6504.200195,177300.0
6532.450195,6574.950195,6497.649902,6516.649902,6516.649902,179300.0
6530.0,6541.200195,6506.0,6524.049805,6524.049805,172500.0
6508.350098,6523.649902,6473.25,6483.100098,6483.100098,142000.0
6515.200195,6522.899902,6485.700195,6493.200195,6493.200195,189900.0
6510.5,6591.5,6510.5,6583.5,6583.5,158400.0
6550.100098,6595.549805,6544.850098,6589.75,6589.75,168100.0
6615.649902,6627.450195,6580.600098,6601.399902,6601.399902,186600.0
6613.100098,6673.950195,6599.5,6641.75,6641.75,312400.0
6673.049805,6702.600098,6643.799805,6695.899902,6695.899902,184800.0
6723.149901999999,6730.049805,6662.399902,6704.200195,6704.200195,220600.0
6729.5,6732.25,6675.450195,6721.049805,6721.049805,177800.0
6757.600098000001,6763.5,6723.600098000001,6752.549805,6752.549805,173300.0
6772.049805,6776.75,6696.899902,6736.100098000001,6736.100098000001,197500.0
6741.850098000001,6741.850098000001,6685.149902,6694.350098,6694.350098,155100.0
6694.25,6725.149901999999,6650.399902,6695.049805,6695.049805,133900.0
6722.0,6808.700195,6705.100098,6796.200195,6796.200195,169800.0
6803.049805,6819.049805,6777.299805,6796.399901999999,6796.399901999999,191100.0
6758.350098000001,6789.350098000001,6743.149901999999,6776.299805,6776.299805,140700.0
6792.700195,6813.399901999999,6711.75,6733.100098000001,6733.100098000001,123200.0
6727.25,6748.649901999999,6665.149902,6675.299805,6675.299805,119800.0
6695.450195,6783.049805,6684.399902,6779.399901999999,6779.399901999999,131500.0
6789.25,6825.450195,6786.899901999999,6817.649901999999,6817.649901999999,111800.0
6822.899901999999,6838.0,6806.25,6815.350098000001,6815.350098000001,114700.0
6823.25,6861.600098000001,6820.75,6840.799805,6840.799805,183000.0
6855.799805,6869.850098000001,6772.850098000001,6782.75,6782.75,154300.0
6778.549805,6786.25,6750.299805,6761.25,6761.25,118200.0
6769.0,6779.700195,6708.649902,6715.25,6715.25,115500.0
6724.950195,6780.149901999999,6656.799805,6696.399902,6696.399902,161100.0
6709.950195,6737.649901999999,6689.5,6694.799805,6694.799805,114300.0
6681.649902,6741.049805,6680.450195,6699.350098,6699.350098,105000.0
6719.25,6743.450195,6701.899902,6715.299805,6715.299805,88300.0
6708.600098,6718.75,6642.899902,6652.549805,6652.549805,114100.0
6669.899902,6688.399902,6638.549805,6659.850098,6659.850098,101600.0
6654.149902,6871.350098000001,6652.149902,6858.799805,6858.799805,166400.0
6863.399901999999,7020.049805,6862.899901999999,7014.25,7014.25,157700.0
7080.0,7172.350098000001,7067.149901999999,7108.75,7108.75,232200.0
7112.0,7142.25,7080.899901999999,7108.75,7108.75,177200.0
7111.299805,7152.549805,7082.549805,7123.149901999999,7123.149901999999,186800.0
7270.200195,7563.5,7130.649901999999,7203.0,7203.0,393200.0
7276.850098000001,7291.100098000001,7193.549805,7263.549805,7263.549805,316200.0
7309.950195,7353.649901999999,7247.700195,7275.5,7275.5,255300.0
7274.850098000001,7287.149901999999,7206.700195,7252.899901999999,7252.899901999999,203100.0
7289.950195,7319.549805,7258.149901999999,7276.399901999999,7276.399901999999,240900.0
7306.5,7381.0,7293.899901999999,7367.100098000001,7367.100098000001,259600.0
7428.75,7504.0,7269.049805,7359.049805,7359.049805,273200.0
7363.100098000001,7372.950195,7274.75,7318.0,7318.0,168600.0
7324.950195,7344.75,7302.600098000001,7329.649901999999,7329.649901999999,175600.0
7316.600098000001,7325.399901999999,7224.399901999999,7235.649901999999,7235.649901999999,241100.0
7254.850098000001,7272.5,7118.450195,7229.950195,7229.950195,312200.0
7264.049805,7368.600098000001,7239.5,7362.5,7362.5,169900.0
7375.350098000001,7424.950195,7342.149901999999,7415.850098000001,7415.850098000001,234700.0
7417.549805,7433.299805,7391.350098000001,7402.25,7402.25,204600.0
7399.75,7484.700195,7360.5,7474.100098000001,7474.100098000001,250700.0
7521.5,7592.700195,7497.649901999999,7583.399901999999,7583.399901999999,248400.0
7621.649901999999,7673.700195,7580.25,7654.600098000001,7654.600098000001,231900.0
7679.049805,7683.200195,7579.299805,7656.399901999999,7656.399901999999,188700.0
7672.399901999999,7700.049805,7589.049805,7626.850098000001,7626.850098000001,186200.0
7641.299805,7658.0,7593.799805,7649.899901999999,7649.899901999999,148200.0
7668.200195,7678.5,7525.350098000001,7542.100098000001,7542.100098000001,174500.0
7534.799805,7548.600098000001,7487.549805,7533.549805,7533.549805,155400.0
7525.049805,7637.600098000001,7509.25,7631.700195,7631.700195,158000.0
7636.049805,7663.0,7515.5,7558.200195,7558.200195,165100.0
7580.049805,7606.450195,7502.549805,7540.700195,7540.700195,148900.0
7543.299805,7560.549805,7497.299805,7511.450195,7511.450195,124100.0
7514.0,7534.799805,7441.600098000001,7493.350098000001,7493.350098000001,127400.0
7515.200195,7593.350098000001,7515.200195,7580.200195,7580.200195,137000.0
7588.549805,7589.25,7557.049805,7569.25,7569.25,115000.0
7554.100098000001,7570.200195,7481.299805,7493.200195,7493.200195,171700.0
7514.200195,7538.75,7482.299805,7508.799805,7508.799805,126700.0
7534.049805,7623.649901999999,7531.600098000001,7611.350098000001,7611.350098000001,152300.0
7629.0,7649.5,7618.149901999999,7634.700195,7634.700195,139400.0
7683.049805,7732.399901999999,7677.299805,7725.149901999999,7725.149901999999,136300.0
7734.350098000001,7754.649901999999,7706.799805,7714.799805,7714.799805,133800.0
7718.100098000001,7758.0,7661.299805,7751.600098000001,7751.600098000001,113100.0
7780.399901999999,7792.0,7755.100098000001,7787.149901999999,7787.149901999999,173900.0
7804.049805,7808.850098000001,7595.899901999999,7623.200195,7623.200195,180600.0
7637.950195,7650.100098000001,7551.649901999999,7585.0,7585.0,168300.0
7589.5,7731.049805,7479.049805,7567.75,7567.75,258400.0
7584.100098000001,7625.850098000001,7447.200195,7459.600098000001,7459.600098000001,187600.0
7469.0,7478.450195,7422.149901999999,7454.149901999999,7454.149901999999,135200.0
7491.299805,7534.899901999999,7459.149901999999,7526.649901999999,7526.649901999999,122100.0
7564.149901999999,7640.100098000001,7532.450195,7624.399901999999,7624.399901999999,168000.0
7612.700195,7655.649901999999,7612.700195,7640.450195,7640.450195,141600.0
7630.25,7685.0,7595.5,7663.899901999999,7663.899901999999,134600.0
7701.649901999999,7722.100098000001,7674.0,7684.200195,7684.200195,105400.0
7708.200195,7773.850098000001,7704.799805,7767.850098000001,7767.850098000001,120100.0
7794.899901999999,7809.200195,7752.899901999999,7795.75,7795.75,122100.0
7796.25,7835.649901999999,7771.649901999999,7830.600098000001,7830.600098000001,117600.0
7828.200195,7840.950195,7748.600098000001,7790.450195,7790.450195,153900.0
7792.899901999999,7799.899901999999,7722.649901999999,7748.700195,7748.700195,116500.0
7746.200195,7798.700195,7707.600098000001,7791.399901999999,7791.399901999999,178100.0
7784.649901999999,7791.850098000001,7711.149901999999,7721.299805,7721.299805,208900.0
7662.5,7716.700195,7593.899901999999,7602.600098000001,7602.600098000001,181100.0
7639.549805,7694.799805,7622.049805,7683.649901999999,7683.649901999999,137000.0
7706.649901999999,7752.450195,7638.049805,7746.549805,7746.549805,128200.0
7726.149901999999,7740.950195,7658.950195,7672.049805,7672.049805,116400.0
7651.149901999999,7708.950195,7630.399901999999,7649.25,7649.25,116800.0
7588.700195,7592.450195,7540.100098000001,7568.549805,7568.549805,118400.0
7619.850098000001,7635.549805,7598.600098000001,7625.950195,7625.950195,107000.0
7688.799805,7735.75,7654.799805,7727.049805,7727.049805,120600.0
7717.299805,7757.100098000001,7695.700195,7739.549805,7739.549805,154100.0
7756.149901999999,7796.700195,7739.100098000001,7791.700195,7791.700195,127300.0
7785.25,7880.5,7779.200195,7874.25,7874.25,126700.0
7901.0,7918.549805,7881.149901999999,7897.5,7897.5,140600.0
7915.799805,7922.700195,7864.049805,7875.299805,7875.299805,117300.0
7875.350098000001,7919.649901999999,7855.950195,7891.100098000001,7891.100098000001,115200.0
7904.549805,7929.049805,7900.049805,7913.200195,7913.200195,104100.0
7931.75,7968.25,7897.950195,7906.299805,7906.299805,118500.0
7874.5,7915.450195,7862.450195,7904.75,7904.75,142800.0
7933.899901999999,7946.850098000001,7916.549805,7936.049805,7936.049805,120000.0
7942.25,7967.799805,7939.200195,7954.350098000001,7954.350098000001,189700.0
7990.350098000001,8035.0,7984.0,8027.700195,8027.700195,139300.0
8038.600098000001,8101.950195,8036.549805,8083.049805,8083.049805,134900.0
8110.850098000001,8141.899901999999,8092.25,8114.600098000001,8114.600098000001,150700.0
8114.200195,8114.799805,8060.899901999999,8095.950195,8095.950195,141300.0
